drug_id,batch_rfid,qr_code_id,hospital_id,region,supply_chain_event,stock_quantity,demand_quantity,status,expiry_date,temperature_celsius,cost_usd,compliance_score
D50023,00140208-21D,7c8986bc-ea4d-45f2-a664-c180657bab5a,H0084,Central,ColdChain_Validated,353,429,Shortage,7/17/2026,9.07,123.11,0.381
D50024,3B32648D-7A3,925a68be-c2c6-4b8b-a33b-fa1f7d6a8ff4,H0007,East,Dispatched_For_Transfer,423,378,Surplus,9/27/2026,11.24,34.92,0.408
D50025,D605463C-211,67e95780-8300-4fd4-bd0e-3a4f28baa0fe,H0074,North,Received_From_Distributor,303,308,Shortage,4/13/2026,11.2,85.81,0.246
D50026,A162D119-91E,3d7b82c8-86ec-46dd-a2dd-de91f2419780,H0065,Central,Expiry_Warning,395,286,Surplus,10/30/2027,7.36,171.24,0.872
D50027,A45AD68F-4BE,f950c3b3-9e58-4a1b-8cf7-02d692dceb5f,H0098,North,Quality_Checked,201,195,Surplus,11/15/2026,5.07,194.5,0.579
D50028,3AD277F3-EAD,d50da80b-e673-46f6-a0c3-4901d58782f9,H0087,South,Quality_Checked,453,296,Surplus,9/13/2027,4.54,134.76,0.864
D50029,D62E03E4-542,6f446a8e-8981-42ce-ad0a-7bb0213dd948,H0094,Central,Stored_In_Inventory,286,156,Surplus,6/18/2027,10.75,184.78,0.674
D50030,85B9D8E8-50A,75420876-c6d1-4853-adc8-e2b36e2a6c72,H0040,South,Received_From_Distributor,170,388,Shortage,8/28/2026,10.38,30.75,0.396
D50031,F432060F-704,dabb1f2e-7f3f-4237-a885-1e9e45a11500,H0083,South,ColdChain_Validated,469,237,Surplus,9/16/2027,4.25,195.14,0.862
D50032,659AA520-60C,d96e251a-eec0-4841-bd42-1010aae51cca,H0057,South,Dispatched_For_Transfer,323,409,Shortage,4/23/2027,2.68,11.53,0.688
D50033,DBA6157A-552,f702700e-77ac-4925-8919-a2ae34c18797,H0033,East,Received_From_Distributor,31,150,Shortage,10/15/2027,10.47,107.82,0.795
D50034,677526E4-ABD,8e52ca8a-20f8-4f7b-92b1-dcd4338e2f90,H0098,East,Requested_By_Pharmacy,262,275,Shortage,10/17/2026,7.69,61.75,0.498
D50035,2B3B4F8F-57E,49f6447e-0a08-4d9d-9eb6-f0a69f43a764,H0080,West,Requested_By_Pharmacy,245,339,Shortage,9/15/2027,4.44,163.71,0.864
D50036,855785B0-5E0,ee688c51-5d92-46eb-a195-02fecee31ab6,H0034,East,Stored_In_Inventory,354,138,Surplus,10/27/2026,7.72,47.42,0.507
D50037,315C0297-E21,02229a86-6e1f-4221-b138-04361a32f1cd,H0030,East,Quality_Checked,58,175,Shortage,11/1/2027,1.73,7.25,0.856
D50038,A973862D-987,c36752ff-f12d-412b-a350-3731614f8ed7,H0024,East,Stored_In_Inventory,484,419,Surplus,7/9/2027,3.09,85.85,0.771
D50039,038D98F7-245,a3846e7a-0c9c-4337-ba63-7eb6f28fe71b,H0096,South,Quality_Checked,68,32,Surplus,1/4/2028,7,17.5,0.943
D50040,A85737D9-32E,cb16cd34-d9fa-4cc6-b452-2b6956d7b48b,H0036,South,ColdChain_Validated,179,140,Surplus,6/18/2027,6.93,61.57,0.75
D50041,91D980D3-5B2,f9ec9f5d-b25d-4d07-b2b1-2f178f7179cb,H0016,South,Received_From_Distributor,485,417,Surplus,11/16/2026,3.71,130.53,0.555
D50042,EF3157EA-A9F,37c03799-a2a0-44c7-9b49-449cd26b23d7,H0083,South,ColdChain_Validated,197,409,Shortage,8/18/2027,11.8,62.47,0.712
D50043,C6E3D9AC-485,85d1ef19-fd4a-4e32-b47f-097f7d9c6684,H0058,North,Received_From_Distributor,473,380,Surplus,11/9/2027,5.54,52.93,0.918
D50044,23B9C9BB-CBF,db558d05-cb0d-44f4-8cf3-eb1705065563,H0003,West,Temperature_Alert,280,245,Surplus,12/9/2026,8.79,35.32,0.528
D50045,E5A76F15-817,d7fbc4ae-2d82-4328-a8d3-1cb304b31872,H0081,South,Received_From_Distributor,199,348,Shortage,10/24/2026,3.84,31.36,0.535
D50046,B522D4B3-FD1,70fb05b0-3911-4162-a472-8690c4dcebf1,H0031,West,Received_From_Distributor,455,446,Surplus,12/26/2027,5.67,107.54,0.961
D50047,FE1A6A66-B5A,dcdb59b6-9aa6-4b14-94a7-6df78e0ff0e0,H0003,East,Delivered,184,448,Shortage,9/4/2027,10.14,137.89,0.762
D50048,F98D9BD7-573,f0b1ec44-e96b-4858-ae23-ee32ab2186a5,H0012,West,Quality_Checked,455,438,Surplus,6/5/2026,10.33,93.28,0.315
D50049,8E225DC9-319,6460a31a-a2ac-495d-96d5-11e97ad47294,H0038,East,Stored_In_Inventory,60,232,Shortage,3/15/2027,2.49,29.1,0.646
D50050,B8CAF843-6E8,32ccabad-8700-405e-8bfd-74812401bcc3,H0046,South,Received_From_Distributor,373,291,Surplus,5/20/2026,4.9,131.31,0.404
D50051,DE40D7A0-C7E,0d710242-fa99-43b0-b0af-58f4d550ce7a,H0094,East,Dispatched_For_Transfer,64,307,Shortage,2/9/2027,3.23,113.64,0.628
D50052,D4827A0F-668,05fbca5d-1def-4c29-a767-23047c1e442f,H0062,South,ColdChain_Validated,253,38,Surplus,6/17/2027,10.79,79.35,0.672
D50053,1239590B-B5F,980f3ca1-936c-4052-9b44-2989e5f7b942,H0070,South,ColdChain_Validated,329,6,Surplus,10/21/2027,9.29,69.36,0.825
D50054,77C88E14-5FB,6133f166-64d7-4fc9-a298-3ccb9185a538,H0077,West,Expiry_Warning,140,366,Shortage,6/14/2026,7.2,40.71,0.386
D50055,C7BE6E0E-5F4,0526e59e-7e48-42c9-9920-f966c5dd7451,H0053,Central,Delivered,494,199,Surplus,5/18/2026,8.15,33.53,0.341
D50056,2A0DC82B-F3C,2bbae1fc-3911-4a8a-bee8-7bf0f26d14e9,H0034,South,Expiry_Warning,316,98,Surplus,8/26/2026,11.06,71.06,0.38
D50057,2032CA37-D40,ac31c67f-af4f-4e63-8b9e-f4fa9836070b,H0005,Central,Expiry_Warning,144,332,Shortage,11/19/2026,4.34,13.12,0.571
D50058,A44F0E12-FC3,b1fdf45f-aead-4791-8f95-76e5e025a88e,H0086,South,Expiry_Warning,30,312,Shortage,6/19/2026,1.15,90.14,0.358
D50059,AED35CEF-1D0,58993dc2-07c2-4220-9686-d06bba50b765,H0073,South,Delivered,338,139,Surplus,2/4/2027,1.29,122.31,0.585
D50060,223CA8DB-434,954fd499-fb7b-4745-a188-36f8afc6c2e4,H0033,West,Stored_In_Inventory,176,208,Shortage,11/17/2027,1.51,188.62,0.867
D50061,A6DB928B-41A,fcc1ce88-767f-494b-a77d-04321fd08dae,H0027,North,Requested_By_Pharmacy,283,254,Surplus,6/22/2027,2.41,127.04,0.741
D50062,B47F485E-4E3,8357be96-eb95-4c63-b413-3374a7b80917,H0012,South,Dispatched_For_Transfer,397,151,Surplus,4/15/2026,7.28,126.69,0.326
D50063,B6ADB08F-14E,d5a852e8-c389-427a-a7e3-81600045de9d,H0018,North,Temperature_Alert,98,350,Shortage,5/10/2027,11.79,78.01,0.615
D50064,1C7EB881-70E,4b526053-312a-4006-ae0d-4e97b72a4183,H0047,East,Quality_Checked,325,352,Shortage,3/8/2027,5.62,31,0.677
D50065,E7A07FBD-065,1e0495d9-5d5c-4e72-9646-fb4c653084de,H0042,Central,Delivered,23,258,Shortage,8/25/2026,8.84,92.15,0.423
D50066,870FEAE2-8A5,41ce9c2c-1f1d-4c75-bb33-3336e5078af2,H0073,East,Requested_By_Pharmacy,251,403,Shortage,4/18/2027,9.71,121.74,0.636
D50067,E30AC9B4-398,96cfdfb2-f77c-46fa-9790-6d57204c3a50,H0089,South,Requested_By_Pharmacy,274,338,Shortage,6/6/2027,9.82,146.19,0.681
D50068,53F093D5-7B8,82ef8fd7-a8bd-4e02-96a5-df0be0272f2a,H0030,West,Delivered,355,180,Surplus,2/21/2027,5.88,166.09,0.658
D50069,7C428621-844,49490ccf-62ff-4e6d-aaeb-897eb77c7f2c,H0037,East,Received_From_Distributor,62,129,Shortage,3/26/2027,7.05,54.91,0.666
D50070,06C07F5D-EA8,b8fd0a40-1019-4a0d-86fc-2a68a00d45f0,H0042,North,Received_From_Distributor,395,255,Surplus,12/4/2027,4.62,52.04,0.946
D50071,0A46E64D-788,512428b8-e243-4aa8-84d3-909ba262a992,H0016,East,Expiry_Warning,349,402,Shortage,8/13/2027,8.57,115.23,0.772
D50072,C7FEEC54-B18,8c65370e-2513-4f4d-ba81-2a9b2115ef4c,H0027,South,Stored_In_Inventory,101,135,Shortage,11/7/2026,5.21,115.37,0.568
D50073,2ED72C1B-807,545976e7-a08c-47bc-a8fa-b254193f948f,H0023,North,Temperature_Alert,376,54,Surplus,10/29/2027,4.42,47.5,0.907
D50074,AF7CC253-45E,ff46e8d6-aa4a-4727-810d-5b7717acb7c6,H0070,West,Temperature_Alert,453,97,Surplus,10/25/2027,7.9,119.56,0.856
D50075,2E792F32-160,f1968cde-681a-4f59-9211-a364ca0e2b9f,H0095,Central,Expiry_Warning,464,384,Surplus,4/10/2027,4.75,72.45,0.717
D50076,89CF0A80-C52,392ea5d0-eceb-4ff0-93af-2da74a198f99,H0078,North,Temperature_Alert,437,314,Surplus,7/29/2026,5.49,129.67,0.464
D50077,E586C12C-1E3,566ee1f7-1dbd-4fa7-84fe-d8c25f3b0ba5,H0027,East,Received_From_Distributor,273,394,Shortage,9/6/2026,8.82,61.75,0.436
D50078,3BAFCEB0-140,aa81d744-ab0e-4543-8bab-a54ce68dc958,H0017,West,Stored_In_Inventory,440,437,Surplus,7/10/2027,10.39,120.5,0.703
D50079,50A4BD9D-5DE,ce9e6f43-d248-450a-a746-64af6a346355,H0006,North,Requested_By_Pharmacy,44,411,Shortage,12/24/2026,5.78,154.82,0.602
D50080,1DE8A17A-EA0,a1180992-170f-4bb9-a56f-9d1fba5c3d42,H0078,West,Expiry_Warning,215,224,Shortage,9/16/2026,6.74,196.13,0.487
D50081,9A9FD1EE-70C,5fe68da9-ffb9-43be-94a5-b44a342be789,H0083,East,Stored_In_Inventory,90,338,Shortage,9/21/2026,9.21,182.66,0.442
D50082,8C8684FA-E3D,fff2bce6-1fc6-4b0c-884c-0dd85209f39e,H0010,East,Temperature_Alert,429,338,Surplus,10/13/2026,3.47,103.19,0.517
D50083,57C3922A-8B2,46631e7e-0f90-4c6a-b8af-5a6fcefa29e2,H0045,West,Stored_In_Inventory,59,24,Surplus,11/4/2026,5.57,100.23,0.558
D50084,B14CAFCF-513,a425d693-3b9f-4d5b-a21f-2fce6e50b9de,H0056,East,Dispatched_For_Transfer,369,209,Surplus,6/17/2027,9.93,90.35,0.689
D50085,35DC45BB-CDD,b55ea7ff-ce27-4ba3-bb34-a5ca19e4385e,H0031,North,Dispatched_For_Transfer,397,95,Surplus,6/18/2027,10.84,10.41,0.672
D50086,FFB650C5-932,e052ff6f-06dd-44ce-aa0b-4e144cc93cbc,H0091,West,Temperature_Alert,11,448,Shortage,10/21/2027,8.09,37.36,0.849
D50087,30146174-857,3ecac3df-d554-44d9-aead-5e3b4879e889,H0040,Central,Delivered,399,359,Surplus,12/5/2026,5.33,16.54,0.593
D50088,C1FF1C81-C8E,90765534-8236-4e4e-8191-bf5b797e2def,H0003,South,ColdChain_Validated,63,177,Shortage,9/18/2027,7.67,140.79,0.825
D50089,CC34143A-734,3b7ce31b-d453-4c61-a740-c72da2fb5bb8,H0047,South,Received_From_Distributor,115,193,Shortage,11/3/2027,2.97,85.58,0.883
D50090,461D8DB4-052,3162998c-d0ec-420f-b74f-afc5ffb842ea,H0092,West,Expiry_Warning,269,316,Shortage,4/14/2027,1.32,17.44,0.652
D50091,006B36AE-88C,c6eee3fc-2af6-417d-b4d7-edf8c005b130,H0024,East,Temperature_Alert,319,6,Surplus,10/24/2027,1.82,139.66,0.85
D50092,AB9F46DA-30D,e1d97c22-a35c-4cb9-b014-752e1e590dd4,H0011,North,Temperature_Alert,486,365,Surplus,4/26/2026,2.19,130.66,0.326
D50093,2B412586-3E8,0769834c-0768-466e-82be-39dfb5adeba7,H0075,Central,Dispatched_For_Transfer,200,433,Shortage,10/3/2026,3.48,145.39,0.508
D50094,FD7A02CE-612,7266b54a-047e-437a-b08e-b62169544077,H0031,North,Quality_Checked,411,172,Surplus,9/21/2027,6.08,121.97,0.86
D50095,D2F390F1-24D,2a5f896b-7c92-4d05-b320-53bc245cac67,H0047,East,Quality_Checked,227,372,Shortage,9/8/2026,3.56,36.5,0.485
D50096,E45D1176-8CD,f3a22084-d4f8-41df-a15e-490b3068c3c6,H0078,Central,Temperature_Alert,53,28,Surplus,6/23/2026,7.44,16.97,0.39
D50097,83E6C6D5-70F,bb158e04-69c6-46cb-a507-94fcf8e68482,H0043,South,Dispatched_For_Transfer,171,417,Shortage,5/16/2026,11.98,164.34,0.262
D50098,195D5488-433,9bce90c6-6bf1-48c1-bb1d-0c64c34cecd8,H0011,North,Received_From_Distributor,211,369,Shortage,8/29/2027,6.48,47.08,0.829
D50099,2B9369F2-D03,70a8d825-1c95-44ba-b508-4b8990528a60,H0056,North,Received_From_Distributor,455,72,Surplus,2/13/2027,9.33,110.79,0.581
D50100,D59C8520-127,80c2c11a-23eb-4568-a35d-359065fa55e4,H0006,South,Stored_In_Inventory,493,374,Surplus,12/28/2026,4.22,99.62,0.606
D50101,571CC42D-A76,270d5797-7a46-45a3-9386-cc3ac95feefa,H0001,North,Delivered,279,198,Surplus,5/26/2026,11.59,184.61,0.28
D50102,B60FF8CE-E99,f78ede23-a0b3-45a4-b106-ccfb9b49115b,H0076,South,Temperature_Alert,360,88,Surplus,2/6/2027,3.74,112.73,0.635
D50103,D1A66C2F-759,00cec793-feed-4dfe-9aaf-49b8eb45c1ec,H0002,West,Stored_In_Inventory,313,442,Shortage,10/11/2027,7.56,118.1,0.85
D50104,58F25355-E7D,a1bf4564-5702-4a9b-ba48-db0ff3a2e836,H0036,South,Dispatched_For_Transfer,280,441,Shortage,3/9/2027,11.82,67.3,0.554
D50105,906927B7-73B,c45df214-b8f3-4804-9bcf-8947e37fce0d,H0073,South,Dispatched_For_Transfer,465,211,Surplus,5/6/2027,9.89,191.95,0.649
D50106,CCA26626-DA3,7898b24d-6a7c-4111-869b-440c11a262c3,H0080,West,Received_From_Distributor,471,53,Surplus,8/10/2027,11.91,124.41,0.702
D50107,5424E49F-DDA,21cf8f94-9a9d-4288-b942-1c0d230fe45a,H0041,West,Stored_In_Inventory,224,36,Surplus,1/22/2027,5.18,5.97,0.643
D50108,6A6F4B7D-C7A,c94cb833-e117-4b93-8cf1-60db948d91fd,H0098,East,ColdChain_Validated,261,321,Shortage,1/15/2028,1.85,113.44,0.931
D50109,4EE9E6FC-8A4,753ce8bf-e69b-4baa-be47-4239990378ca,H0065,East,Dispatched_For_Transfer,199,174,Surplus,6/23/2026,3.68,75.95,0.413
D50110,46792005-189,ad15bf18-65a3-4117-b8c8-c69f8c9c441f,H0033,Central,ColdChain_Validated,305,133,Surplus,1/13/2027,11.53,11.26,0.507
D50111,8F2DBDA5-83B,c85bbe04-7a82-425d-9e2e-69ba6909f51d,H0066,South,Delivered,222,106,Surplus,9/14/2026,5.08,89.15,0.518
D50112,52E0337F-80D,1cf81131-98b7-419d-a051-b7c11280ded2,H0093,Central,ColdChain_Validated,217,39,Surplus,9/11/2026,2.37,155.85,0.464
D50113,D4DFF9CE-A91,0e007c25-6807-4e91-8c43-329e0e18301d,H0073,West,Expiry_Warning,246,311,Shortage,7/31/2027,7.52,103.24,0.78
D50114,F9365F71-5B6,b64503e5-ba72-4acc-b51f-10ee94314268,H0008,South,Stored_In_Inventory,347,203,Surplus,11/7/2027,6.5,129.69,0.897
D50115,5518A5B1-910,9ae4aaf3-6a19-40f8-a7ec-79f8215fc695,H0092,South,Requested_By_Pharmacy,376,305,Surplus,9/21/2027,1.69,129.75,0.815
D50116,E296DCEF-B09,f00b3572-1093-4553-a011-1bf496c5e125,H0003,South,Temperature_Alert,62,81,Shortage,7/15/2026,5.98,135.85,0.441
D50117,D9C6DA22-3F3,6cb95f69-76e5-4da2-be36-c683a4e0d574,H0044,West,Expiry_Warning,289,373,Shortage,6/3/2027,7.96,80.58,0.715
D50118,696372FC-484,463876c8-3cbe-487b-8af1-8969ef3f6ba8,H0011,North,Quality_Checked,419,325,Surplus,12/17/2027,3.56,77.15,0.937
D50119,D5381D3D-075,e6b25aa2-0375-42e4-9918-d3ebc255fbc5,H0001,Central,ColdChain_Validated,226,18,Surplus,6/29/2026,2.37,5.89,0.392
D50120,13691D88-2B0,7366eaa9-0d6a-454b-8f9f-635e6418d1cc,H0048,East,Expiry_Warning,261,353,Shortage,12/8/2026,10.51,35.07,0.492
D50121,44A0CD8C-5F6,3f798e5c-3574-4db7-a809-1f2f5ecf5940,H0070,East,Delivered,197,135,Surplus,10/6/2027,7.88,190.41,0.838
D50122,5CD3A05B-105,2b72c3ff-7a69-4be4-8311-a44cb3f72d24,H0042,North,Quality_Checked,389,242,Surplus,10/18/2027,2.71,169.27,0.862
D50123,161643D4-5BF,6c7fc604-c9d7-433c-955b-ade3ddd7f391,H0077,South,Requested_By_Pharmacy,50,284,Shortage,9/14/2027,7.92,58.65,0.816
D50124,C1D2A26D-1CF,27ab2c32-1c8c-4050-9ebd-5350672e168f,H0045,East,Stored_In_Inventory,166,69,Surplus,6/4/2027,9.09,83.23,0.694
D50125,DD900F1B-2A9,9f01766f-98ff-4fff-a7bc-026db003e2f0,H0091,West,Received_From_Distributor,24,436,Shortage,1/31/2027,7.57,188.28,0.603
D50126,9ACBB1E8-7F0,840199fb-dc6a-4da8-bf2b-3ea9c4055ba0,H0087,South,Temperature_Alert,310,142,Surplus,5/17/2027,2.28,53.84,0.704
D50127,3B0C1ED1-364,cc45ca6f-9e19-4328-a915-f81e9079c434,H0034,West,Received_From_Distributor,74,273,Shortage,4/15/2026,2.37,108.84,0.319
D50128,49F61A7F-7F0,71912a45-8198-4f82-a3e2-c6bcdffea509,H0032,Central,Expiry_Warning,354,232,Surplus,2/17/2027,1.5,9.31,0.601
D50129,74BB1A00-E1E,b19cd0fd-b0be-49d6-baf3-b2f9bd244f3e,H0061,South,Stored_In_Inventory,336,205,Surplus,3/10/2027,3.57,125.85,0.663
D50130,2A8F4013-7E1,cf19f104-657b-460f-b8b1-a1c161a9e5e5,H0093,West,Stored_In_Inventory,18,146,Shortage,11/1/2027,1.66,186.36,0.854
D50131,B499DD72-CF8,1ebe81ab-d9d2-4f45-94d0-de606fe00048,H0006,North,Received_From_Distributor,353,104,Surplus,8/24/2026,9.86,177.52,0.402
D50132,91957A4F-F81,3dea62fd-9728-413f-84a0-2648656fab72,H0078,North,ColdChain_Validated,138,142,Shortage,12/9/2027,1.17,102.88,0.882
D50133,DCE92762-693,449cfee9-2c9c-4e51-9a7b-7f98aef7cee9,H0078,East,ColdChain_Validated,145,172,Shortage,9/23/2027,7.39,131.68,0.836
D50134,BB214CC1-51C,bed54f78-5667-40c7-b1ff-328f664ac796,H0097,Central,Temperature_Alert,481,411,Surplus,4/27/2026,9.91,116.11,0.285
D50135,06020098-B0C,df07558b-da8f-486e-9429-17d66dec5714,H0088,South,Delivered,72,103,Shortage,6/5/2026,10.84,18.06,0.305
D50136,F57D9A1D-132,7ff3ede6-5e6f-4d44-9a3b-e25bc51df946,H0062,Central,Dispatched_For_Transfer,148,315,Shortage,10/27/2027,5.5,35.95,0.906
D50137,2F199CF5-C92,03efca7e-4230-48c5-ad38-f01791175508,H0035,Central,Dispatched_For_Transfer,90,323,Shortage,10/21/2027,7.83,192.94,0.854
D50138,C4582439-C28,4b4f5532-8326-43dd-92d6-d7a9c81a8dae,H0011,Central,Temperature_Alert,401,331,Surplus,8/21/2027,11.46,54.91,0.722
D50139,F1A678F0-C3A,4927d16d-76d4-41a5-bd15-bfc7ff54ba13,H0014,South,Stored_In_Inventory,172,430,Shortage,6/8/2027,8.39,79.97,0.712
D50140,74266F48-4E7,49a0b19d-5f9c-4a51-be3e-f12a78cc18ef,H0045,Central,Stored_In_Inventory,428,359,Surplus,2/19/2027,10.91,104.24,0.555
D50141,F65B0D14-612,bae36cb1-19c9-4544-8e2c-fe09b4e2cd11,H0026,East,Stored_In_Inventory,298,70,Surplus,3/31/2026,8.53,195.93,0.287
D50142,8DC00767-60E,b3d0ef42-eec9-4de8-b74d-e23f11bee679,H0090,North,Requested_By_Pharmacy,388,339,Surplus,11/12/2027,1.75,139.55,0.867
D50143,658FAD10-5A5,1b31401c-01b5-4ea2-a714-509f4d7061f1,H0040,South,Dispatched_For_Transfer,270,333,Shortage,11/1/2026,3.17,127.77,0.53
D50144,75D5B41C-D5C,12bd22ce-3270-4f02-810a-0062fe3556e4,H0034,East,ColdChain_Validated,499,51,Surplus,8/28/2027,11.34,107.26,0.731
D50145,3F587273-36F,bc963e43-5cf6-4f0f-b5e9-62affe35b1cb,H0079,East,Dispatched_For_Transfer,240,341,Shortage,12/27/2026,10.29,141.63,0.515
D50146,92CDB86D-2A6,535fc965-178c-48a6-b427-77face5d47a8,H0092,West,Requested_By_Pharmacy,50,386,Shortage,4/4/2027,5.65,134.48,0.703
D50147,112F0468-46D,1e60e148-6294-4454-9b35-eeaa3ecf8a2c,H0095,East,Dispatched_For_Transfer,37,235,Shortage,9/18/2027,2.77,181.05,0.834
D50148,ACFF7039-D43,ba8761c0-6b2f-4ec1-a756-ed4e74025c2c,H0066,Central,Dispatched_For_Transfer,144,312,Shortage,4/27/2027,2.73,110.66,0.693
D50149,0F308680-286,cce606e1-633a-4e11-a50f-7f96003299f0,H0022,North,Received_From_Distributor,210,150,Surplus,10/15/2026,10.95,87.19,0.431
D50150,7C9C288E-AC2,6519016c-d224-4f8c-85e0-441bb8b14c9c,H0041,Central,Quality_Checked,337,211,Surplus,5/22/2026,2.83,162.4,0.365
D50151,2F46C345-CF8,5f556d5c-3912-4576-bd76-1f76fd0d487c,H0059,Central,Quality_Checked,277,150,Surplus,10/2/2027,5.25,160.96,0.887
D50152,D378B010-ED2,2712131f-4a26-43bb-9bdd-b021f8a57102,H0099,East,Requested_By_Pharmacy,427,156,Surplus,1/2/2028,10.91,38.12,0.863
D50153,83971816-D33,4830cfa3-9e04-4b6e-9006-fc8ba41bb111,H0082,South,ColdChain_Validated,42,283,Shortage,8/27/2027,1.37,51.17,0.784
D50154,BFB1EBBE-C39,fe0565e3-ecf3-4f8b-baec-0d84d7f0a51a,H0032,South,Received_From_Distributor,57,144,Shortage,8/27/2027,7.94,191.93,0.798
D50155,71C3C0A3-C46,d6d50b1b-5594-4b7e-9e21-27126a3dc5b0,H0035,North,Requested_By_Pharmacy,416,155,Surplus,2/20/2027,4.86,91.6,0.672
D50156,8DB00C6C-D90,a6bbe933-55e4-48a0-ae0e-ec319e5e40ad,H0070,West,Dispatched_For_Transfer,71,25,Surplus,4/22/2026,2.19,106.33,0.323
D50157,A644B5B2-1C5,1164ed1f-c96e-42fa-8be0-e3706a0fe5de,H0004,Central,Quality_Checked,225,258,Shortage,7/6/2027,7.24,65.48,0.762
D50158,3AC9045E-6FA,436bd5fa-f87b-4b1c-ace9-a9ba6c449263,H0094,South,Temperature_Alert,302,68,Surplus,10/31/2026,6.33,98.81,0.539
D50159,8AFFA5D5-2CB,fa1c562a-b5c1-4a4d-9871-d58e25844487,H0076,East,Requested_By_Pharmacy,108,222,Shortage,5/11/2026,2.09,149.95,0.339
D50160,41ED706A-37C,8524c341-8428-4d31-b54d-37031c936a05,H0008,Central,ColdChain_Validated,181,76,Surplus,8/10/2026,3.94,99.06,0.464
D50161,1EFAF207-772,297b854e-5f53-46cf-8588-db605d0b6f40,H0053,Central,Quality_Checked,369,166,Surplus,5/10/2026,9.14,66.38,0.313
